plant,target,target_col,item_code,item_name,unit,source_plants,nonzero_days,coverage,pearson_corr,spearman_corr,mix_adjusted_corr,abs_mix_adjusted_corr,activity_mean_when_nonzero,activity_p95,signal_level,candidate_level
남양주1,전력,전력량[kWh],210376,(품)비비빅믹스,BT,"남양주1,남양주2,논산",554,0.6739659367396593,0.5073410977470454,0.47278983720708057,0.4782413092281567,0.4782413092281567,9.453068592057761,16.0,Strong,High
남양주1,전력,전력량[kWh],210405,V메로나믹스,BT,"남양주1,남양주2,김해,논산",573,0.6970802919708029,0.46634983530337304,0.42961124392702055,0.4357477366647192,0.4357477366647192,14.015706806282722,22.0,Strong,High
남양주1,전력,전력량[kWh],250071,더위사냥 커피 믹스 B,BT,"남양주1,남양주2,김해",374,0.45498783454987834,0.26600742453132237,0.26182485850019316,0.2566834457031035,0.2566834457031035,12.83957219251337,24.0,Moderate,Medium
남양주1,전력,전력량[kWh],220129,요플레 오리지널 믹스,BT,광주,386,0.46958637469586373,0.27885821672319344,0.3394811507791024,0.20398485880158615,0.20398485880158615,34.94818652849741,56.0,Moderate,Medium
남양주1,전력,전력량[kWh],219144,(품명 미확인),-,,58,0.0705596107055961,0.1675495680833761,0.13497362960935178,0.1998197090690094,0.1998197090690094,9.862068965517242,16.15,Weak,Watch
남양주1,전력,전력량[kWh],210198,요맘때 발효믹스,BT,"남양주1,남양주2,김해,논산",450,0.5474452554744526,0.1670742430022128,0.13571901783734042,0.19091489759500666,0.19091489759500666,5.388888888888889,8.549999999999955,Weak,Watch
남양주1,전력,전력량[kWh],219216,엔초 믹스N,BT,"남양주1,남양주2",55,0.06690997566909976,-0.2391544505386534,-0.29202557925240197,-0.1680897382915869,0.1680897382915869,4.054545454545455,8.0,Weak,Watch
남양주1,전력,전력량[kWh],223509,(품명 미확인),-,,46,0.05596107055961071,-0.0914665603709689,-0.07210037060795436,-0.14759048527826973,0.14759048527826973,11.5,15.0,Weak,Low
남양주1,전력,전력량[kWh],210511,엔초 믹스91(28),BT,"남양주1,남양주2",262,0.31873479318734793,0.14562531399648443,0.16718787690524392,0.12944458060496639,0.12944458060496639,5.076335877862595,10.0,Weak,Low
남양주1,전력,전력량[kWh],210494,요맘때 딸기바 믹스(N),BT,"남양주1,남양주2,김해,논산",194,0.2360097323600973,0.11040759076771145,0.06176578187417795,0.125653624173849,0.125653624173849,6.881443298969073,12.0,Weak,Low
남양주1,전력,전력량[kWh],213137,떡붕어싸만코 믹스,BT,"남양주1,남양주2,김해,논산",538,0.6545012165450121,0.1488803947704412,0.16167209239343405,0.1244355691499807,0.1244355691499807,7.148698884758364,11.0,Weak,Low
남양주1,전력,전력량[kWh],223271,요플레 그릭 마일드 믹스,BT,"남양주1,남양주2",311,0.37834549878345497,-0.22024935755005084,-0.23522763353103274,-0.12201207982593192,0.12201207982593192,12.90032154340836,31.0,Weak,Low
남양주1,전력,전력량[kWh],223558,요플레 오리지널 믹스 (R),BT,"남양주1,남양주2",265,0.3223844282238443,-0.259131519092138,-0.326934819515903,-0.12129242101099057,0.12129242101099057,29.369811320754717,55.0,Weak,Low
남양주1,전력,전력량[kWh],219054,요맘때 플레인 콘 기본믹스,BT,"남양주1,남양주2",232,0.2822384428223844,0.11355361329999596,0.0736971935236817,0.12082281765158777,0.12082281765158777,3.185344827586207,6.0,Weak,Low
남양주1,전력,전력량[kWh],222052,바나나라이트(반제품),CS,"남양주1,남양주2",494,0.6009732360097324,0.04160554701267731,0.052649526813852106,0.11730671159547384,0.11730671159547384,580.2570850202429,900.0,Weak,Low
남양주1,전력,전력량[kWh],213526,요맘때슈팅소다믹스,BT,"남양주1,남양주2",126,0.15328467153284672,0.09266218046996742,0.06568117330272688,0.11228225467176503,0.11228225467176503,2.142857142857143,5.0,Weak,Low
남양주1,전력,전력량[kWh],213525,요맘때슈팅요거트믹스,BT,"남양주1,남양주2",131,0.15936739659367397,0.09666396255244983,0.07496388964698546,0.11200953300837632,0.11200953300837632,2.015267175572519,3.5,Weak,Low
남양주1,전력,전력량[kWh],210014,쿠앤크바믹스,BT,"남양주1,남양주2,김해,논산",206,0.25060827250608275,0.11177945640053416,0.056779506775059246,0.10730507965490947,0.10730507965490947,7.810679611650485,12.0,Weak,Low
남양주1,전력,전력량[kWh],223533,(품명 미확인),-,,49,0.05961070559610705,-0.0755092724501618,-0.05409923523253168,-0.10600426719894121,0.10600426719894121,16.79591836734694,21.0,Weak,Low
남양주1,전력,전력량[kWh],219090,요맘때딸기콘 딸기믹스,BT,"남양주1,남양주2",93,0.11313868613138686,0.06571072738094169,0.03324161292158739,0.10285158827658408,0.10285158827658408,1.8494623655913978,5.0,Weak,Low
남양주1,전력,전력량[kWh],220090,바나나우유맛 라이트믹스,BT,"남양주1,남양주2",525,0.6386861313868614,0.08415500478534878,0.0557421384791828,0.10266720362218436,0.10266720362218436,19.37142857142857,23.0,Weak,Low
남양주1,전력,전력량[kWh],260015,농축유,KG,"남양주1,남양주2,김해",492,0.5985401459854015,-0.08099735907103729,-0.07495485613396612,-0.10033216148376037,0.10033216148376037,13417.174796747968,21153.8,Weak,Low
남양주1,전력,전력량[kWh],219091,요맘때딸기콘 요거트믹스,BT,"남양주1,남양주2",146,0.17761557177615572,0.0504599293336255,-0.05269172957492062,0.0994659580533335,0.0994659580533335,1.8904109589041096,5.0,Weak,Low
남양주1,전력,전력량[kWh],220114,쥬시쿨복숭아믹스,BT,"남양주1,남양주2,김해",502,0.610705596107056,0.10068256131255819,0.14319091141511797,0.09204978994171811,0.09204978994171811,28.37051792828685,41.0,Weak,Low
남양주1,전력,전력량[kWh],223535,요플레 플레인 화이트 락토프리 믹스,BT,"남양주1,남양주2",87,0.10583941605839416,0.055929843319552926,0.03442504578960992,0.08774988631461007,0.08774988631461007,3.5057471264367814,4.0,Weak,Low
남양주1,전력,전력량[kWh],210347,(식)요맘때 복숭아 기본믹스,BT,"김해,논산",87,0.10583941605839416,0.09497635376135638,0.06634273247052015,0.08399713885320925,0.08399713885320925,6.333333333333333,10.0,Weak,Low
남양주1,전력,전력량[kWh],220182,(품명 미확인),-,,57,0.06934306569343066,0.035903954792872776,0.09341047407523155,-0.08129748700236392,0.08129748700236392,12.052631578947368,16.199999999999996,Weak,Low
남양주1,전력,전력량[kWh],222051,바나나맛우유(반제품),CS,"남양주1,남양주2",759,0.9233576642335767,0.019366818587500834,-0.0032792534285645773,0.08071568183529607,0.08071568183529607,777.9209486166008,1440.0,Weak,Low
남양주1,전력,전력량[kWh],219100,슈크림 붕어싸만코 믹스,BT,"남양주1,남양주2",102,0.12408759124087591,-0.08872396454442774,-0.08902436895225499,-0.07459889137563942,0.07459889137563942,5.715686274509804,10.0,Weak,Low
남양주1,전력,전력량[kWh],220184,시유믹스,BT,"남양주1,남양주2",761,0.9257907542579076,0.25712095995004386,0.3192698301336139,0.07268651480736799,0.07268651480736799,31.11563731931669,54.0,Weak,Low
남양주1,전력,전력량[kWh],223564,춘식이멜론 믹스,BT,"남양주1,남양주2",47,0.057177615571776155,0.037301371158713514,-0.005205741908788507,0.07223567894987792,0.07223567894987792,8.553191489361701,15.0,Weak,Low
남양주1,전력,전력량[kWh],251045,끌 쿠앤크바 믹스(M),BT,"남양주1,남양주2",165,0.20072992700729927,0.062120294638860804,0.081567450714729,0.07149330760851215,0.07149330760851215,1.6303030303030304,3.0,Weak,Low
